Código Ámbito,Ámbito,Código área (M49),Área,Código Elemento,Elemento,Código Producto (CPC),Producto,Código año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5510"",""Producción"",""01652"",""Ajíes y pimientos secos (caspicum y pimenta), en bruto"",""2020"",""2020"",""toneladas"",""3183.11"",""I"",""Valor imputado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5510"",""Producción"",""01652"",""Ajíes y pimientos secos (caspicum y pimenta), en bruto"",""2021"",""2021"",""toneladas"",""3184.4"",""I"",""Valor imputado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5312"",""Área cosechada"",""01231"",""Ajíes y pimientos, verdes (capsicum y pimenta)"",""2010"",""2010"",""ha"",""7094"",""I"",""Valor imputado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5312"",""Área cosechada"",""01231"",""Ajíes y pimientos, verdes (capsicum y pimenta)"",""2011"",""2011"",""ha"",""6858"",""I"",""Valor imputado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5312"",""Área cosechada"",""01231"",""Ajíes y pimientos, verdes (capsicum y pimenta)"",""2012"",""2012"",""ha"",""6742"",""I"",""Valor imputado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5312"",""Área cosechada"",""01231"",""Ajíes y pimientos, verdes (capsicum y pimenta)"",""2013"",""2013"",""ha"",""6697"",""I"",""Valor imputado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5312"",""Área cosechada"",""01231"",""Ajíes y pimientos, verdes (capsicum y pimenta)"",""2014"",""2014"",""ha"",""6635"",""I"",""Valor imputado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5312"",""Área cosechada"",""01231"",""Ajíes y pimientos, verdes (capsicum y pimenta)"",""2015"",""2015"",""ha"",""6536"",""I"",""Valor imputado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5312"",""Área cosechada"",""01231"",""Ajíes y pimientos, verdes (capsicum y pimenta)"",""2016"",""2016"",""ha"",""6515"",""I"",""Valor imputado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5312"",""Área cosechada"",""01231"",""Ajíes y pimientos, verdes (capsicum y pimenta)"",""2017"",""2017"",""ha"",""6487"",""I"",""Valor imputado"""
